Guid;Kursus
872F332B-281C-46CC-8829-6581DE035B7D;02312 Indledende programmering E10
872F332B-281C-46CC-8829-6581DE035B7D;02313 Udviklingsmetoder til IT-Systemer E10
872F332B-281C-46CC-8829-6581DE035B7D;02325 Datakommunikation F11
872F332B-281C-46CC-8829-6581DE035B7D;02332 Compilerteknik E11
872F332B-281C-46CC-8829-6581DE035B7D;02341 Modelbaseret softwareudvikling
872F332B-281C-46CC-8829-6581DE035B7D;02324 Videregående programmering F11
872F332B-281C-46CC-8829-6581DE035B7D;02333 Parallelle og tidstro systemer
A4A586E8-A5FB-4185-8EA9-46FDA2E38A64;02318 Indledende programmering for Diplom-E E10
A4A586E8-A5FB-4185-8EA9-46FDA2E38A64;02318 Indledende programmering for Diplom-E F11
A4A586E8-A5FB-4185-8EA9-46FDA2E38A64;02319 Videregående Programmering for Diplom-E E11
55E32646-1EEF-4621-8ED3-5AC2AD682EDA;02206 Design af integrerede kredsløb F10
55E32646-1EEF-4621-8ED3-5AC2AD682EDA;01227 Grafteori F10
55E32646-1EEF-4621-8ED3-5AC2AD682EDA;02170 Database Systemer F10
55E32646-1EEF-4621-8ED3-5AC2AD682EDA;02817 Personalisering og metadata modeller F10
55E32646-1EEF-4621-8ED3-5AC2AD682EDA;02531 Festivalkursus - Database design til Roskilde festival Jun 10
3CC0FBE5-A624-4647-B3C4-FF871B05E13E;02228 Sikkerhedskritiske indlejrede systemer E10
3CC0FBE5-A624-4647-B3C4-FF871B05E13E;02239 Datasikkerhed E11
3CC0FBE5-A624-4647-B3C4-FF871B05E13E;02222 Distribuerede systemer F11
3CC0FBE5-A624-4647-B3C4-FF871B05E13E;02223 Fundamentale Modeller for Moderne Indlejrede Systemer E10
3CC0FBE5-A624-4647-B3C4-FF871B05E13E;02225 Tidstro systemer F11
3CC0FBE5-A624-4647-B3C4-FF871B05E13E;02450 Introduktion til Machine Learning og Datamodellering
3CC0FBE5-A624-4647-B3C4-FF871B05E13E;02261 Usability engineering Jan 11
3CC0FBE5-A624-4647-B3C4-FF871B05E13E;02208 Test af integrerede kredsløb E10
3CC0FBE5-A624-4647-B3C4-FF871B05E13E;02291 System integration
71FC37D2-2B4D-4C44-9025-063A2833BA01;02601 Introduktion til numeriske algoritmer
71FC37D2-2B4D-4C44-9025-063A2833BA01;02525 Introduktion til Matematik og teknologi
533BDAF5-8DF6-4DB9-82CD-62D7F0FB36B8;02601 Introduktion til numeriske algoritmer
533BDAF5-8DF6-4DB9-82CD-62D7F0FB36B8;02525 Introduktion til Matematik og teknologi
9ABB070B-5673-4F29-8786-6CE3EBFC3E6B;02413 Statistisk kvalitetskontrol E08
E958070F-838E-4D9D-A0C2-75614264B1CC;02451 Digital signalbehandling E08
D3CCBE34-A02B-4688-8E1A-3AE8F4FA686C;02159 Operativsystemer E09
D3CCBE34-A02B-4688-8E1A-3AE8F4FA686C;02158 Parallelprogrammering E09
D3CCBE34-A02B-4688-8E1A-3AE8F4FA686C;02393 Programmering i C++ F11
D3CCBE34-A02B-4688-8E1A-3AE8F4FA686C;02403 Introduktion til statistik  Jun 09
D3CCBE34-A02B-4688-8E1A-3AE8F4FA686C;02815 Web 2.0 og mobil interaktion E11
D3CCBE34-A02B-4688-8E1A-3AE8F4FA686C;02162 Software Engineering 2 E11
D3CCBE34-A02B-4688-8E1A-3AE8F4FA686C;02131 Indlejrede systemer E08
D3CCBE34-A02B-4688-8E1A-3AE8F4FA686C;02157 Funktionsprogrammering E09
D3CCBE34-A02B-4688-8E1A-3AE8F4FA686C;02170 Database Systemer F09
C73C389E-D3BB-40B4-B1EA-B444F615B284;02318 Indledende programmering for Diplom-E F10
C73C389E-D3BB-40B4-B1EA-B444F615B284;02319 Videregående Programmering for Diplom-E E10
F28F8B90-E7DF-454C-995C-C59023363B93;02323 Sandsynlighedsregning og Statistik  F11
F28F8B90-E7DF-454C-995C-C59023363B93;02691 Datalogi E10
F28F8B90-E7DF-454C-995C-C59023363B93;02323 Sandsynlighedsregning og Statistik 
E5D27C0F-CBC0-421C-B0B0-A752BA83D6D0;02318 Indledende programmering for Diplom-E F10
E5D27C0F-CBC0-421C-B0B0-A752BA83D6D0;02319 Videregående Programmering for Diplom-E E10
AFE19129-4D07-47E4-8591-3612FF6E020A;02405 Sandsynlighedsregning F10
AFE19129-4D07-47E4-8591-3612FF6E020A;01035 Matematik 2 F10
910B842B-765C-425E-88D3-CB995BDB9E71;02405 Sandsynlighedsregning F10
910B842B-765C-425E-88D3-CB995BDB9E71;02403 Introduktion til statistik  Jun 11
2D75092A-A525-46BB-AB17-BA24FD249259;02105 Algoritmer og Datastrukturer I F10
2D75092A-A525-46BB-AB17-BA24FD249259;01227 Grafteori F11
2D75092A-A525-46BB-AB17-BA24FD249259;02110 Algoritmer og Datastrukturer 2 E10
1117CB19-7E8C-47D3-902D-A727A26E2355;02405 Sandsynlighedsregning F10
2790A7FA-226F-4AD9-BEF2-3C419285BEA9;02402 Introduktion til statistik  F10
682F858E-5260-4854-814F-E3CD98D66932;02242 Program Analyse E11
682F858E-5260-4854-814F-E3CD98D66932;02298 Analyse teknikker E11
682F858E-5260-4854-814F-E3CD98D66932;02228 Sikkerhedskritiske indlejrede systemer E11
682F858E-5260-4854-814F-E3CD98D66932;02241 Robuste Software Systemer F11
682F858E-5260-4854-814F-E3CD98D66932;02239 Datasikkerhed E11
682F858E-5260-4854-814F-E3CD98D66932;02156 Logiske Systemer og Logikprogrammering E11
682F858E-5260-4854-814F-E3CD98D66932;02222 Distribuerede systemer F11
682F858E-5260-4854-814F-E3CD98D66932;02233 Netværkssikkerhed F11
682F858E-5260-4854-814F-E3CD98D66932;02244 Sprog-baseret sikkerhed F11
682F858E-5260-4854-814F-E3CD98D66932;02267 Software-udvikling af Webtjenester E11
DF871C8B-8F23-4D40-A341-ACFDCB65932D;02450 Introduktion til Machine Learning og Datamodellering
DF871C8B-8F23-4D40-A341-ACFDCB65932D;02283 Algoritmer for store datamængder
7FE8F38A-917C-4ACE-BD88-B215A1BAE340;02180 Introduktion til kunstig intelligens F11
7FE8F38A-917C-4ACE-BD88-B215A1BAE340;02450 Introduktion til Machine Learning og Datamodellering F11
7FE8F38A-917C-4ACE-BD88-B215A1BAE340;02170 Database Systemer F11
7FE8F38A-917C-4ACE-BD88-B215A1BAE340;02291 System integration F11
6B18682D-C542-48AB-8C1D-542D0D1ACE1E;02921 ITMAN seminarrække
42EA91CC-3B33-4B62-BF4C-F7A7FB34C264;02802 Projekt i Software-udvikling
42EA91CC-3B33-4B62-BF4C-F7A7FB34C264;02314 Indledende programmering E11
42EA91CC-3B33-4B62-BF4C-F7A7FB34C264;02313 Udviklingsmetoder til IT-Systemer E11
A960F27F-AC24-4DB3-B7EC-3EAD8B8725A9;02101 Indledende programmering E11
90F808FA-CF2F-4255-95D0-D12C39033FCC;02139 Digital elektronik 2
90F808FA-CF2F-4255-95D0-D12C39033FCC;02138 Digital elektronik 1 E11
90F808FA-CF2F-4255-95D0-D12C39033FCC;02102 Indledende Programmering
4CF9A6EC-3F53-4D4E-AFF9-4DA5079E7A19;02393 Programmering i C++ E11
B0E3B83D-05D0-426B-A3A9-38B0A80964D6;02637 Videregående Matlab programmering F11
E8312908-8B23-49DB-A1BE-CA2097B8E159;02441 Anvendt statistik og statistisk programmel Jan 09
E8312908-8B23-49DB-A1BE-CA2097B8E159;02623 Elementmetoden for partielle differentialligninger Jan 09
E8312908-8B23-49DB-A1BE-CA2097B8E159;02261 Usability engineering Jan 09
E8312908-8B23-49DB-A1BE-CA2097B8E159;02165 Udvikling af Software Produkter Jan 09
E8312908-8B23-49DB-A1BE-CA2097B8E159;02507 Projektarbejde inden for billedanalyse, computer grafik og optimering Jan 09
764B8E82-DCF0-4580-B989-175514816791;02601 Introduktion til numeriske algoritmer F10
764B8E82-DCF0-4580-B989-175514816791;02601 Introduktion til numeriske algoritmer F09
BB30FA7B-08FB-4017-BB88-3EBD3A1B7F07;02323 Sandsynlighedsregning og Statistik  E10
BB30FA7B-08FB-4017-BB88-3EBD3A1B7F07;02318 Indledende programmering for Diplom-E F09
BB30FA7B-08FB-4017-BB88-3EBD3A1B7F07;02319 Videregående Programmering for Diplom-E E09
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02565 Computer Animation og Modellering F09
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02563 Realtidsgrafik til spil og virtual reality F09
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02110 Algoritmer og Datastrukturer II E08
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02249  Beregningsmæssigt hårde problemer E08
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02507 Projektarbejde inden for billedanalyse, computer grafik og optimering Jan 09
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02225 Tidstro systemer F09
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02242 Program analyse E08
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02222 Distribuerede systemer F09
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02246 Modellering og validering af processer E09
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02233 Netværkssikkerhed F10
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02265 Advanced Topics in Software Engineering F10
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02225 Tidstro systemer F10
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02238 Biometriske Systemer Jun 10
2EA9BB9F-4386-4CB2-BEC4-6FDDD50E0CDB;02267 Software Development of Web Services E09
108435BF-78E8-460F-B33F-F3104AFCBDA8;02693 Programmering
108435BF-78E8-460F-B33F-F3104AFCBDA8;02323 Sandsynlighedsregning og Statistik  F11
B54193B5-B109-4F2E-B20D-DDFE9320FF62;01035 Matematik 2 E11
B54193B5-B109-4F2E-B20D-DDFE9320FF62;02323 Sandsynlighedsregning og Statistik  F10
F1B5DB20-17D2-4F51-B24F-48B5A8597312;02601 Introduktion til numeriske algoritmer
F1B5DB20-17D2-4F51-B24F-48B5A8597312;02405 Sandsynlighedsregning
F1B5DB20-17D2-4F51-B24F-48B5A8597312;02525 Introduktion til Matematik og teknologi
CD7651BC-7101-435E-BD60-473D88AFD8A6;02601 Introduktion til numeriske algoritmer
CD7651BC-7101-435E-BD60-473D88AFD8A6;02525 Introduktion til Matematik og teknologi
BD2A134E-4BBF-42A9-B737-0D295B268878;02601 Introduktion til numeriske algoritmer
BD2A134E-4BBF-42A9-B737-0D295B268878;02525 Introduktion til Matematik og teknologi
7CF210D6-72A3-44B5-8B0B-B34952C4C955;01227 Grafteori
7CF210D6-72A3-44B5-8B0B-B34952C4C955;02405 Sandsynlighedsregning
7CF210D6-72A3-44B5-8B0B-B34952C4C955;02525 Introduktion til Matematik og teknologi
BC02B9F4-0706-4548-B098-69BD4163A208;02601 Introduktion til numeriske algoritmer
BC02B9F4-0706-4548-B098-69BD4163A208;02405 Sandsynlighedsregning
BC02B9F4-0706-4548-B098-69BD4163A208;02525 Introduktion til Matematik og teknologi
716FB6E7-C140-427B-87F9-B509D84DE0C8;02931 Videnskabelige GPU beregninger F11
716FB6E7-C140-427B-87F9-B509D84DE0C8;02409 Multivariat statistik E10
E7F6F548-4A0B-4B33-AD34-65052250C113;02633 Indledende programmering med Matlab Jun 09
E7F6F548-4A0B-4B33-AD34-65052250C113;01035 Matematik 2 F09
E7F6F548-4A0B-4B33-AD34-65052250C113;02601 Introduktion til numeriske algoritmer F09
AA2C823F-F208-494D-8261-5734B2226408;02409 Multivariat statistik E08
AA2C823F-F208-494D-8261-5734B2226408;02393 Programmering i C++ E08
AA2C823F-F208-494D-8261-5734B2226408;02411 Statistisk forsøgsplanlægning E08
AA2C823F-F208-494D-8261-5734B2226408;01227 Grafteori F09
AA2C823F-F208-494D-8261-5734B2226408;02450 Introduktion til Machine Learning og Datamodellering F11
AA2C823F-F208-494D-8261-5734B2226408;02441 Anvendt statistik og statistisk programmel Jan 09
AA2C823F-F208-494D-8261-5734B2226408;02581 Computerintensiv Dataanalyse F09
AA2C823F-F208-494D-8261-5734B2226408;02443 Stokastisk simulation Jun 11
AA2C823F-F208-494D-8261-5734B2226408;02429 Analyse af korrellerede data: Mixede Lineære Modeller. E10
AA2C823F-F208-494D-8261-5734B2226408;02637 Videregående Matlab programmering F11
AA2C823F-F208-494D-8261-5734B2226408;02417 Tidsrækkeanalyse E08
AA2C823F-F208-494D-8261-5734B2226408;02451 Digital signalbehandling E10
AA2C823F-F208-494D-8261-5734B2226408;02431 Risikomanagement Jan 11
AA2C823F-F208-494D-8261-5734B2226408;02433 Skjulte Markov modeller
AA2C823F-F208-494D-8261-5734B2226408;02453 Anvendt digital signalbehandling F11
AA2C823F-F208-494D-8261-5734B2226408;02413 Statistisk kvalitetskontrol E08
AA2C823F-F208-494D-8261-5734B2226408;02411 Statistisk forsøgsplanlægning F09
AA2C823F-F208-494D-8261-5734B2226408;02610 Optimering og datafitting E10
AA2C823F-F208-494D-8261-5734B2226408;02424 Videregående dataanalyse og statistisk modellering F11
88736693-59CA-4014-BA2F-4264910671FC;02582 Computerintensiv Dataanalyse F11
88736693-59CA-4014-BA2F-4264910671FC;02115 Java-programmering E11
CEB5C5C6-2290-4AE1-ACA5-24CA3296E079;02222 Distribuerede systemer F09
72619B11-7E21-4C92-A9BB-F5D8AC75DCA0;02691 Datalogi E10
72619B11-7E21-4C92-A9BB-F5D8AC75DCA0;02323 Sandsynlighedsregning og Statistik  F11
63DDC6B7-7F86-409F-B303-B5D3EEFBE2CC;01035 Matematik 2
63DDC6B7-7F86-409F-B303-B5D3EEFBE2CC;02323 Sandsynlighedsregning og Statistik  E11
63DDC6B7-7F86-409F-B303-B5D3EEFBE2CC;02593 Statistik E11
E8AB6804-68EB-4EF4-A6D8-F05A5E4F8FDD;02393 Programmering i C++ F10
B9E5031C-C817-4E37-8C65-73E7C3D6387A;02323 Sandsynlighedsregning og Statistik  F10
CC50B443-B99B-47EE-8E60-DDD0F3983687;02454 Introduktion til Kognitiv Psykologi E10
CC50B443-B99B-47EE-8E60-DDD0F3983687;02814 Agil udvikling af digitale medier F11
CC50B443-B99B-47EE-8E60-DDD0F3983687;02824 Forretningsmodeller for digitale medieteknologier Jun 11
CC50B443-B99B-47EE-8E60-DDD0F3983687;02458 Kognitiv Modellering F11
1EC9078E-B7F8-4BB3-B877-A9C7128E5258;02312 Indledende programmering
1EC9078E-B7F8-4BB3-B877-A9C7128E5258;02324 Videregående programmering
1EC9078E-B7F8-4BB3-B877-A9C7128E5258;02311 Digitalteknik
1EC9078E-B7F8-4BB3-B877-A9C7128E5258;02313 Udviklingsmetoder til IT-Systemer E11
1EC9078E-B7F8-4BB3-B877-A9C7128E5258;02326 Algoritmer og Datastrukturer
1EC9078E-B7F8-4BB3-B877-A9C7128E5258;02325 Datakommunikation
59333791-4F58-41D5-9350-423A6027DC6C;02312 Indledende programmering
59333791-4F58-41D5-9350-423A6027DC6C;02324 Videregående programmering
59333791-4F58-41D5-9350-423A6027DC6C;02325 Datakommunikation
59333791-4F58-41D5-9350-423A6027DC6C;02326 Algoritmer og Datastrukturer
59333791-4F58-41D5-9350-423A6027DC6C;02323 Sandsynlighedsregning og Statistik 
59333791-4F58-41D5-9350-423A6027DC6C;02313 Udviklingsmetoder til IT-Systemer E11
59333791-4F58-41D5-9350-423A6027DC6C;02311 Digitalteknik
40CFE6E8-F2B9-4B89-9D4F-26693DC64804;02154 Digitale systemer E11
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;02242 Program Analyse E11
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;02239 Datasikkerhed E10
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;02204 Design af asynkrone kredsløb
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;01227 Grafteori F10
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;02614 High-performance computing Jan 11
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;02355 Netteknologi B E08
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;02207 Videregående teknikker for digital design E08
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;02228 Sikkerhedskritiske indlejrede systemer E11
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;02137 Laboratoriekursus i udvikling af digitale systemer Jan 10
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;02211 Advanced computer architecture F11
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;02223 Fundamentale Modeller for Moderne Indlejrede Systemer E10
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;02241 Robuste Software Systemer
E9F7A77D-3E52-4529-B4E7-6BA0132EBE12;02601 Introduktion til numeriske algoritmer E08
C5067E66-5E57-41B2-8FF3-E7291728703E;02593 Statistik E09
C5067E66-5E57-41B2-8FF3-E7291728703E;02323 Sandsynlighedsregning og Statistik  E09
1A667D9E-8C01-4AD4-B4FE-9953099D723D;02312 Indledende programmering
1A667D9E-8C01-4AD4-B4FE-9953099D723D;02324 Videregående programmering
1A667D9E-8C01-4AD4-B4FE-9953099D723D;02311 Digitalteknik
1A667D9E-8C01-4AD4-B4FE-9953099D723D;02536 Afsætning, GPS og GIS for Diplomingeniører Jun 08
1A667D9E-8C01-4AD4-B4FE-9953099D723D;02691 Datalogi E08
1A667D9E-8C01-4AD4-B4FE-9953099D723D;02323 Sandsynlighedsregning og Statistik  F09
1A667D9E-8C01-4AD4-B4FE-9953099D723D;02313 Udviklingsmetoder til IT-Systemer E11
1A667D9E-8C01-4AD4-B4FE-9953099D723D;02325 Datakommunikation
1A667D9E-8C01-4AD4-B4FE-9953099D723D;02326 Algoritmer og Datastrukturer
BE9919E4-BB1A-49C9-895F-1E84ED96137E;02633 Indledende programmering med Matlab Jun 09
BE9919E4-BB1A-49C9-895F-1E84ED96137E;02411 Statistisk forsøgsplanlægning E11
1B2616AD-3901-4952-970A-1C61A20432E7;02443 Stokastisk simulation Jun 08
1B2616AD-3901-4952-970A-1C61A20432E7;02409 Multivariat statistik E11
6422257C-5A96-4AD4-A483-0BA2A1018E70;02619 Model Prædiktiv Regulering E11
6422257C-5A96-4AD4-A483-0BA2A1018E70;02612 Optimering med bibetingelser
6422257C-5A96-4AD4-A483-0BA2A1018E70;02921 ITMAN seminarrække
6422257C-5A96-4AD4-A483-0BA2A1018E70;02421 Stokastisk adaptiv regulering F11
6422257C-5A96-4AD4-A483-0BA2A1018E70;02427 Videregående tidsrækkeanalyse E11
6422257C-5A96-4AD4-A483-0BA2A1018E70;02612 Optimering med bibetingelser E10
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02333 Parallelle og tidstro systemer F10
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02343 CDIO-Projekt F10
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02561 Computer grafik E11
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02324 Videregående programmering F09
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02313 Udviklingsmetoder til IT-Systemer F09
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02326 Algoritmer og Datastrukturer F09
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02323 Sandsynlighedsregning og Statistik  F10
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02342 Distribuerede Systemer F10
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02313 Udviklingsmetoder til IT-Systemer E08
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02325 Datakommunikation F09
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02323 Sandsynlighedsregning og Statistik  E09
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02350 Windows Programming using C# and .Net E10
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02312 Indledende programmering E08
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02341 Modelbaseret softwareudviklung F10
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02631 Indledende programmering med Matlab E11
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02344 OOAD og databaser E09
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02811 Menneske maskine interaktion E10
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02311 Digitalteknik F09
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02332 Compilerteknik E09
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02323 Sandsynlighedsregning og Statistik  E10
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02337 Basisuddannelse i mainframe - z/OS E11
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02321 Hardware/Software Programmering E09
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02311 Digitalteknik F10
9BFBA173-0122-4579-BFBC-2E5DCD4BD02B;02170 Database Systemer
870F669D-7AE8-4C64-BB3A-755790D7551C;02206 Design af integrerede kredsløb F10
870F669D-7AE8-4C64-BB3A-755790D7551C;02165 Udvikling af Software Produkter Jan 10
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02429 Analyse af korrellerede data: Mixede Lineære Modeller. E11
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02417 Tidsrækkeanalyse F10
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02427 Videregående tidsrækkeanalyse E10
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02610 Optimering og datafitting E10
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02457 Signalbehandling i ikke-lineære systemer E11
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02454 Introduktion til Kognitionsvidenskab E11
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02393 Programmering i C++ E10
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02612 Optimering med bibetingelser E10
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02431 Risikomanagement Jan 11
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02582 Computerintensiv Dataanalyse F11
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02411 Statistisk forsøgsplanlægning F10
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02424 Videregående dataanalyse og statistisk modellering F10
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02490 Forundersøgelse af din projektidé F11
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02443 Stokastisk simulation Jun 10
31118C0A-7D52-4D7F-9E01-C25CB23C14BD;02409 Multivariat statistik E11
CAA35DFC-9E48-4DD2-A016-AB969CECB74B;02685 Scientific Computing for differentialligninger F10
CAA35DFC-9E48-4DD2-A016-AB969CECB74B;02411 Statistisk forsøgsplanlægning F10
127B5EF3-9EB6-4741-87E9-35D70D163536;02921 Seminarrække for Forskerskolen ITMAN F10
127B5EF3-9EB6-4741-87E9-35D70D163536;02238 Biometriske Systemer Jun 10
127B5EF3-9EB6-4741-87E9-35D70D163536;02242 Program Analyse E10
127B5EF3-9EB6-4741-87E9-35D70D163536;02824 Forretningsmodeller for digitale medieteknologier Jun 10
127B5EF3-9EB6-4741-87E9-35D70D163536;02244 Sprog-baseret sikkerhed F10
127B5EF3-9EB6-4741-87E9-35D70D163536;02813 Innovation og digitale medier E10
127B5EF3-9EB6-4741-87E9-35D70D163536;02261 Usability engineering Jan 11
127B5EF3-9EB6-4741-87E9-35D70D163536;02241 Robuste Software Systemer F10
127B5EF3-9EB6-4741-87E9-35D70D163536;02232 Anvendt Kryptografi E10
127B5EF3-9EB6-4741-87E9-35D70D163536;02267 Software-udvikling af Webtjenester E10
127B5EF3-9EB6-4741-87E9-35D70D163536;02225 Tidstro systemer F11
127B5EF3-9EB6-4741-87E9-35D70D163536;02814 Agil udvikling af digitale medier F10
127B5EF3-9EB6-4741-87E9-35D70D163536;02298 Analyse teknikker E10
E3EE9411-3137-46C8-A059-A0777757C1C9;02263 Formelle Aspekter af Software Engineering F11
E3EE9411-3137-46C8-A059-A0777757C1C9;02450 Introduktion til Machine Learning og Datamodellering F11
E3EE9411-3137-46C8-A059-A0777757C1C9;02239 Datasikkerhed E10
E3EE9411-3137-46C8-A059-A0777757C1C9;02157 Funktionsprogrammering E11
E3EE9411-3137-46C8-A059-A0777757C1C9;02225 Tidstro systemer F11
E3EE9411-3137-46C8-A059-A0777757C1C9;02298 Analyse teknikker E10
E3EE9411-3137-46C8-A059-A0777757C1C9;02231 Avanceret Modellering og Analyse af Indlejrede Systemer Jan 11
E3EE9411-3137-46C8-A059-A0777757C1C9;02241 Robuste Software Systemer F10
E3EE9411-3137-46C8-A059-A0777757C1C9;02224 Tidstro systemer
E3EE9411-3137-46C8-A059-A0777757C1C9;02913 Avancerede Analyse Teknikker Jan 12
E3EE9411-3137-46C8-A059-A0777757C1C9;02921 ITMAN seminarrække
E3EE9411-3137-46C8-A059-A0777757C1C9;02156 Logiske Systemer og Logikprogrammering E10
E3EE9411-3137-46C8-A059-A0777757C1C9;02232 Anvendt Kryptografi E10
E3EE9411-3137-46C8-A059-A0777757C1C9;02222 Distribuerede systemer F10
E3EE9411-3137-46C8-A059-A0777757C1C9;02141 Datalogisk Modellering F10
E3EE9411-3137-46C8-A059-A0777757C1C9;02225 Tidstro systemer F10
E3EE9411-3137-46C8-A059-A0777757C1C9;02242 Program Analyse E10
E3EE9411-3137-46C8-A059-A0777757C1C9;02157 Funktionsprogrammering E10
